biosample_id original_sample_name
28880 ST1_1998_1_BM
28881 ST1_2000_1_BM
28882 ST1_2002_1_BM
28883 ST1_2018_1_BM
28884 ST1_2081_1_BM
28885 ST1_2082_1_BM
28886 ST1_2107_1_BM
28887 ST1_2144_1_BM
28888 ST1_2176_1_BM
28889 ST1_2180_1_BM
28890 ST1_2199_1_BM
28891 ST1_2207_1_BM
28892 ST1_2240_1_BM
28893 ST1_2289_1_BM
28894 ST1_2341_1_BM
28895 ST1_2344_1_BM
28896 ST1_2344_2_BM
28897 ST1_2353_1_BM
28898 ST1_2366_1_BM
28899 ST1_2373_1_BM
28900 ST1_2373_2_BM
28901 ST1_2404_1_BM
28902 ST1_2410_1_BM
28903 ST1_2445_1_BM
28904 ST1_2457_1_BM
28905 ST1_2469_1_BM
28906 ST1_2472_1_BM
28907 ST1_2498_1_BM
28908 ST1_2538_1_BM
28909 ST1_2550_1_BM
28910 ST1_2564_1_BM
28911 ST1_2577_1_BM
28912 ST1_2614_1_BM
28913 ST1_1037_1_BM
28914 ST1_1128_1_BM
28915 ST1_1735_1_BM
28916 ST1_1061_3_BM
28917 ST1_1068_1_BM
28918 ST1_1180_1_BM
28919 ST1_1188_1_BM
28920 ST1_1331_1_BM
28921 ST1_1541_1_BM
28922 ST1_1603_1_BM
28923 ST1_1664_1_BM
28924 ST1_1719_1_BM
28925 ST1_1815_1_BM
28926 ST1_1880_1_BM
28927 ST1_1880_2_BM
28928 ST1_2216_1_BM
28929 ST1_2429_1_BM
28930 ST1_2539_1_BM
28931 ST1_2539_2_BM
28932 ST1_2562_1_BM
28933 ST1_2562_2_BM
28934 ST1_1020_3_BM
28935 ST1_1045_1_BM
28936 ST1_1242_4_BM
28937 ST1_1318_1_BM
28938 ST1_1355_1_BM
28939 ST1_1355_3_BM
28940 ST1_1358_1_BM
28941 ST1_1361_1_BM
28942 ST1_1361_3_BM
28943 ST1_1392_1_BM
28944 ST1_1393_1_BM
28945 ST1_1520_1_BM
28946 ST1_1520_3_BM
28947 ST1_1540_1_BM
28948 ST1_1576_1_BM
28949 ST1_1621_1_BM
28950 ST1_1621_2_BM
28951 ST1_1630_1_BM
28952 ST1_1652_1_BM
28953 ST1_1690_1_BM
28954 ST1_1749_1_BM
28955 ST1_1773_1_BM
28956 ST1_1797_1_BM
28957 ST1_1822_1_BM
28958 ST1_2005_1_BM
28959 ST1_2056_1_BM
28960 ST1_2091_1_BM
28961 ST1_2098_1_BM
28962 ST1_2122_1_BM
28963 ST1_2122_3_BM
28964 ST1_2238_1_BM
28965 ST1_2570_1_BM
